Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A SKEWED DISTRIBUTION OF AMINO-ACIDS AT RECOGNITION SITES OF THE HYPERVARIABLE REGION OF IMMUNOGLOBULINS,LARA OCHOA JOSE MANUEL FRANCISCO,3,,JOURNAL OF MOLECULAR EVOLUTION,JAN 1994,38.0,,,12,0.39,0,0,0,0,0,2,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Stable ferrocenyl-NHC Pd(II) complexes: Evidence of C-H •••H/π interaction and M-O bonding in solution,LARA OCHOA JOSE MANUEL FRANCISCO,6,,JOURNAL OF ORGANOMETALLIC CHEMISTRY,OCT 15 2017,848.0,,,8,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,0,0,0
Interactions between calix[8]arenes and fullerenes. Molecular dynamics and molecular mechanics simulation of the 1:1 and 1:2 complexes,LARA OCHOA JOSE MANUEL FRANCISCO,3,,FULLERENE SCIENCE AND TECHNOLOGY,1996,4.0,,,8,0.28,0,0,0,0,0,0,0,0,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electronic and magnetic properties of (tetrakis(2-pyridylmethyl)ethylenediamine)iron(II) perchlorate. A comparison of different computational methods,LARA OCHOA JOSE MANUEL FRANCISCO,6,,INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY,MAY 20 2001,83.0,,,7,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Edge"" or ""vertex"" inversion at phosphorus in the <i>cis</i>-<i>trans</i> isomerization of diazadiphosphetidines?: Model MNDO and <i>ab initio</i> molecular orbital calculations""",LARA OCHOA JOSE MANUEL FRANCISCO,3,,MAIN GROUP CHEMISTRY,1998,2.0,,,6,0.22,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
PATTERNS IN THE COMPLEMENTARY DETERMINING REGIONS OF IMMUNOGLOBULINS (CDRS),LARA OCHOA JOSE MANUEL FRANCISCO,4,,BIOSYSTEMS,1994,32.0,,,6,0.19,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
New organoselenium compounds with intramolecular Se•••O/Se•••H interactions: NMR and theoretical studies,LARA OCHOA JOSE MANUEL FRANCISCO,8,,JOURNAL OF MOLECULAR STRUCTURE,MAR 5 2018,1155.0,,,5,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0
A new tubular arrangement of a dimethylsilyl bridged calix[4] resorcinarene,LARA OCHOA JOSE MANUEL FRANCISCO,7,,SUPRAMOLECULAR CHEMISTRY,2000,11.0,,,5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
DISTRIBUTIONS OF THE USE FREQUENCIES OF AMINO-ACIDS IN THE HYPERVARIABLE REGIONS OF IMMUNOGLOBULINS,LARA OCHOA JOSE MANUEL FRANCISCO,3,,JOURNAL OF MOLECULAR EVOLUTION,JUL 1995,41.0,,,5,0.17,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A DYNAMIC-MODEL FOR PHASE-TRANSITIONS OF LIPIDS INDUCED BY CALCIUM-IONS,LARA OCHOA JOSE MANUEL FRANCISCO,2,,JOURNAL OF THEORETICAL BIOLOGY,FEB 7 1991,148.0,,,5,0.15,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEMBRANE PHASE-TRANSITIONS,LARA OCHOA JOSE MANUEL FRANCISCO,1,"GOODWIN, B; SAUNDERS, P",THEORETICAL BIOLOGY: EPIGENETIC AND EVOLUTIONARY ORDER FROM COMPLEX SYSTEMS,1989,,INTERNATIONAL MEETING OF THEORETICAL BIOLOGY : EPIGENETIC AND EVOLUTIONARY ORDER FROM COMPLEX SYSTEMS,"SEP, 1987",5,0.14,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferrocene derivatives in Diels-Alder [4+2] cycloaddition reactions to fullerenes C<sub>60</sub> and C<sub>70</sub>,LARA OCHOA JOSE MANUEL FRANCISCO,7,,FULLERENE SCIENCE AND TECHNOLOGY,1999,7.0,,,4,0.15,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TRAJECTORY STUDY OF THE EFFICIENT VT-EXCHANGE DUE TO THE COLLISION OF VIBRATIONAL EXCITED HYDROXYL WITH OXYGEN MOLECULE,LARA OCHOA JOSE MANUEL FRANCISCO,6,,KHIMICHESKAYA FIZIKA,1994,13.0,,,4,0.13,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conformational study of galphimines A and B,LARA OCHOA JOSE MANUEL FRANCISCO,4,,SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY,SEP 2005,61.0,,,3,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
