Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Incorporation of two trehalose biosynthetic genes in banana increases trehalose levels and protects the photosynthetic apparatus from salt-stress damage,ITURRIAGA DE LA FUENTE GABRIEL,7,,JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY,NOV 2009,84,,,5,0.31,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0
"<i>Trichoderma harzianum</i> mutants enhance antagonism against phytopathogenic fungi, phosphorus assimilation and drought tolerance in Jalapeno pepper plants",ITURRIAGA DE LA FUENTE GABRIEL,6,,CHILEAN JOURNAL OF AGRICULTURAL RESEARCH,JUL-SEP 2021,81,,,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
Wheat Transformation with <i>ScTPS1-TPS2</i> Bifunctional Enzyme for Trehalose Biosynthesis Protects Photosynthesis during Drought Stress,ITURRIAGA DE LA FUENTE GABRIEL,8,,APPLIED SCIENCES-BASEL,JUN 2023,13,,,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SILICON INDUCES POLYUBIQUITIN AND PEROXIDASE AND INCREASES PROTEIN CONTENT AND PHENOLS IN PROSO MILLET,ITURRIAGA DE LA FUENTE GABRIEL,7,,INTERCIENCIA,JAN 2024,49,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reduction in Salt Stress Due to the Action of Halophilic Bacteria That Promote Plant Growth in <i>Solanum lycopersicum</i>,ITURRIAGA DE LA FUENTE GABRIEL,6,,MICROORGANISMS,NOV 2023,11,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Effect of the physical mutagenesis with 60Co on jalapeno pepper seed quality,ITURRIAGA DE LA FUENTE GABRIEL,7,,CHILEAN JOURNAL OF AGRICULTURAL RESEARCH,JUL-SEP 2022,82,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabidopsis thaliana AtTFIIB1 gene displays alternative splicing under different abiotic stresses,ITURRIAGA DE LA FUENTE GABRIEL,7,,BIOLOGIA PLANTARUM,2021,65,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evaluation of Endogenous and Exogenous Effect of Trehalose on Regeneration of Cryopreserved Chrysanthemum (<i>Dendranthema grandiflorum</i> Kitam.) Shoot-Tips,ITURRIAGA DE LA FUENTE GABRIEL,5,"Reed, BM",II INTERNATIONAL SYMPOSIUM ON PLANT CRYOPRESERVATION,2014,1039,2nd International Symposium on Plant Cryopreservation,"AUG 11-14, 2013",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Molecular analysis of the betaine aldehyde dehydrogenase gene from Amaranthus hypochondriacus L.,ITURRIAGA DE LA FUENTE GABRIEL,3,,PLANT PHYSIOLOGY,JUN 1996,111,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Molecular characterization of cDNA encoding trehalose-6-phosphate synthase/phosphatase from the resurrection plant Selaginella lepidophylla,ITURRIAGA DE LA FUENTE GABRIEL,2,,PLANT PHYSIOLOGY,JUN 1996,111,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
