Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Assessing optimal photoactivity on titania nanotubes using different annealing temperatures,CORTES JACOME MARIA ANTONIA,8,,APPLIED CATALYSIS B-ENVIRONMENTAL,OCT 11 2010,100,,,31,2.07,0,0,0,0,0,0,3,3,2,5,5,4,1,2,1,3,1,0,1,0
Highly Quasi-Monodisperse Ag Nanoparticles on Titania Nanotubes by Impregnative Aqueous Ion Exchange,CORTES JACOME MARIA ANTONIA,5,,LANGMUIR,SEP 1 2009,25,,,28,1.75,0,0,0,0,0,1,4,4,3,2,2,4,0,2,2,0,0,0,1,3
Upgrading HDS activity of MoS<sub>2</sub> catalysts by chelating thioglycolic acid to MoO<sub>x</sub> supported on alumina,CORTES JACOME MARIA ANTONIA,6,,APPLIED CATALYSIS B-ENVIRONMENTAL,SEP 15 2017,213,,,26,3.25,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,5,5,4,2,1
Fe doped TiO<sub>2</sub> powder synthesized by sol gel method: structural and photocatalytic characterization,CORTES JACOME MARIA ANTONIA,4,,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS,AUG 2015,26,2nd International Symposium on Renewable Energy and Sustainability (ISRES),"MAR 20-22, 2013",26,2.6,0,0,0,0,0,0,0,0,0,0,0,2,2,5,7,4,2,2,2,0
Generation of highly reactive OH groups at the surface of TiO<sub>2</sub> nanotubes,CORTES JACOME MARIA ANTONIA,4,,CATALYSIS TODAY,MAY 30 2011,166,2nd International Symposium on New Catalytic Materials,"AUG 16-20, 2009",25,1.79,0,0,0,0,0,0,2,1,2,2,2,1,1,1,4,1,0,6,0,2
Effect of Mo and Co loading in HDS catalysts supported on solvo-thermally treated ZrO<sub>2</sub>-TiO<sub>2</sub> mixed oxides,CORTES JACOME MARIA ANTONIA,7,,CATALYSIS TODAY,APR-JUN 2008,133,20th Ibero American Catalysis Symposium,"SEP 17-22, 2006",25,1.47,0,0,0,2,1,2,2,0,1,1,1,5,0,3,4,1,1,1,0,0
Effect of solvo-thermal treatment temperature on the properties of sol-gel ZrO<sub>2</sub>-TiO<sub>2</sub> mixed oxides as HDS catalyst supports,CORTES JACOME MARIA ANTONIA,6,,CATALYSIS TODAY,SEP 15 2006,116,,,21,1.11,0,0,0,3,1,2,0,2,0,1,2,4,1,1,0,1,2,1,0,0
Characterization of Synthetic Hydrocalumite-Type [Ca<sub>2</sub>Al(OH)<sub>6</sub>]NO<sub>3</sub>•<i>m</i>H<sub>2</sub>O: Effect of the Calcination Temperature,CORTES JACOME MARIA ANTONIA,4,,JOURNAL OF POROUS MATERIALS,DEC 1995,2,,,20,0.67,0,0,0,0,0,1,1,2,1,1,1,1,0,0,2,3,2,2,2,1
One-step synthesis and characterization of ZrO<sub>2</sub>-WO<i><sub>x</sub> </i>prepared by hydrothermal method at autogenous pressure,CORTES JACOME MARIA ANTONIA,5,,JOURNAL OF MATERIALS CHEMISTRY,2003,13,,,19,0.86,1,1,0,2,2,1,0,1,1,0,1,1,2,1,1,0,1,2,1,0
Uniformly sized Pt nanoparticles dispersed at high loading on Titania nanotubes,CORTES JACOME MARIA ANTONIA,10,,APPLIED CATALYSIS A-GENERAL,JUN 25 2020,600,,,18,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,3
HDS of straight-run gas oil at various nitrogen contents.: Comparison between different reaction systems,CORTES JACOME MARIA ANTONIA,7,,FUEL,JUN 2007,86,Mexican Congress on Chemical Reaction Engineering,"APR 19-21, 2006",16,0.89,0,0,0,1,1,0,0,0,2,1,1,1,0,4,1,1,1,1,0,1
Highly dispersed Pt-Ir nanoparticles on titania nanotubes,CORTES JACOME MARIA ANTONIA,7,,APPLIED CATALYSIS A-GENERAL,SEP 26 2012,437,,,15,1.15,0,0,0,0,0,0,0,0,0,6,2,2,0,1,2,0,1,1,0,0
Pt nanoparticles on titania nanotubes prepared by vapor-phase impregnation-decomposition method,CORTES JACOME MARIA ANTONIA,5,,JOURNAL OF ALLOYS AND COMPOUNDS,APR 16 2010,495,"15th International Symposium on Metastable, Amorphous and Nanostructured Materials","JUL 06-10, 2008",15,1.0,0,0,0,0,0,0,2,4,3,1,1,2,0,0,1,0,1,0,0,0
Synthesis and Photocatalytic Activity of Cu<sub>2</sub>O Microspheres upon Methyl Orange Degradation,CORTES JACOME MARIA ANTONIA,10,,TOPICS IN CATALYSIS,AUG 2020,63,,,14,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0
"Morphology induced CO, pyridine and lutidine adsorption sites on TiO<sub>2</sub>: Nanoparticles, nanotubes and nanofibers",CORTES JACOME MARIA ANTONIA,6,,CATALYSIS TODAY,OCT 15 2010,155,,,14,0.93,0,0,0,0,0,0,2,1,2,0,2,2,1,1,1,1,0,1,0,0
On the role of calcination temperature in Pt-SO<sub>4</sub><SUP>2-</SUP>/ZrO<sub>2</sub>-Al<sub>2</sub>O<sub>3</sub> preparation and catalytic behaviors during the <i>n</i>-hexane hydroisomerization,CORTES JACOME MARIA ANTONIA,8,,CATALYSIS LETTERS,AUG 2008,124,,,14,0.82,0,0,0,0,1,1,0,2,1,0,0,0,2,1,0,3,2,1,0,0
Structural evolution of WO<sub>3</sub> nanoclusters on ZrO<sub>2</sub>,CORTES JACOME MARIA ANTONIA,4,,JOURNAL OF MATERIALS RESEARCH,APR 2006,21,,,14,0.74,0,1,2,1,2,0,1,0,1,0,0,0,2,0,1,1,0,0,0,2
"Evolution of titania nanotubes-supported WO<i><sub>x</sub></i> species by <i>in situ</i> thermo-Raman spectroscopy, X-ray diffraction and high resolution transmission electron microscopy",CORTES JACOME MARIA ANTONIA,5,,JOURNAL OF SOLID STATE CHEMISTRY,OCT 2007,180,,,13,0.72,0,0,1,0,4,3,0,1,1,0,1,0,0,0,0,1,0,0,1,0
Relationship between the catalytic activity and Mo-V surface species in bimetallic catalysts for the oxidative desulfurization of dibenzothiophenic compounds,CORTES JACOME MARIA ANTONIA,4,,REACTION KINETICS MECHANISMS AND CATALYSIS,DEC 2017,122,,,12,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,3,1
Selective Vanillin Hydrodeoxygenation on Synthetic Takovite Derived NiAlO<sub>x</sub> Mixed Oxide,CORTES JACOME MARIA ANTONIA,7,,TOPICS IN CATALYSIS,AUG 2020,63,,,9,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0
Structural analysis of a Pt-Pd core-shell/Al-SBA-15 catalyst synthesized by the solid-state impregnation route,CORTES JACOME MARIA ANTONIA,4,,MATERIALS CHEMISTRY AND PHYSICS,APR 15 2019,228,,,9,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2
n-Pentane Isomerization Over Pt- and Ni-Pt-Promoted Sulfated Zirconia Catalysts Supported on Alumina,CORTES JACOME MARIA ANTONIA,4,,CATALYSIS LETTERS,AUG 2009,131,,,9,0.56,0,0,0,0,0,0,0,2,1,0,0,1,1,1,0,2,1,0,0,0
"Acid and base properties of molybdophosphoric acid supported on zirconia: Characterized by IR spectroscopy, TPD and catalytic activity",CORTES JACOME MARIA ANTONIA,5,,FUEL,OCT 2012,100,International Symposium on Advances in Hydroprocessing of Oil Fractions (ISAHOF),"JUN, 2011",7,0.54,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1
Uranyl complexes formed with a <i>para-t</i>-butylcalix[4]arene bearing phosphinoyl pendant arms on the lower rim. Solid and solution studies,CORTES JACOME MARIA ANTONIA,7,,RADIOCHIMICA ACTA,2012,100,,,6,0.46,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,1
Synthesis and structural characterization of molybdenum sulfide tubulenes,CORTES JACOME MARIA ANTONIA,4,,SOLAR ENERGY MATERIALS AND SOLAR CELLS,APR 14 2006,90,Annual Meeting of the Mexican-Academy-of-Materials-Science,"AUG 22-26, 2004",6,0.32,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Metal Support Interaction Effects on the Reducibility of Ir Nanoparticles on Titania Nanotubes,CORTES JACOME MARIA ANTONIA,7,,TOPICS IN CATALYSIS,FEB 2016,59,,,5,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1
Structural characterization of Pt-Ir bimetallic clusters on TiO<sub>2</sub> nanotubes prepared by simultaneous reduction,CORTES JACOME MARIA ANTONIA,4,,POWDER TECHNOLOGY,MAY 2014,258,,,4,0.36,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0
Role of the residual Na<SUP>+</SUP> ions on the dispersion of WO<i><sub>x</sub></i> species on titania nanotubes by in situ thermo-Raman study,CORTES JACOME MARIA ANTONIA,7,,CATALYSIS TODAY,OCT 15 2010,155,,,4,0.27,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"Assessing optimal photoactivity on titania nanotubes using different annealing temperatures (vol 100, pg 47, 2010)",CORTES JACOME MARIA ANTONIA,8,,APPLIED CATALYSIS B-ENVIRONMENTAL,JAN 14 2011,101,,,3,0.21,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
"Modulating accessibility, acidity and hydrogenation functions on mesoporous NiO<sub>1-x</sub>/Y-zeolite for vanillin hydrodeoxygenation",CORTES JACOME MARIA ANTONIA,7,,MICROPOROUS AND MESOPOROUS MATERIALS,MAY 2022,336,,,2,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
