Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Maximal Unstable Dissipative Interval to Preserve Multi-scroll Attractors via Multi-saturated Functions,CAMPOS CANTON ERIC,4,,JOURNAL OF NONLINEAR SCIENCE,DEC 2016,26.0,,,10,1.11,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,2,0,1
A MULTIVIBRATOR CIRCUIT BASED ON CHAOS GENERATION,CAMPOS CANTON ERIC,4,,INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,JAN 2012,22.0,,,9,0.69,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,3,0,0
Forced synchronization of autonomous dynamical Boolean networks,CAMPOS CANTON ERIC,4,,CHAOS,AUG 2015,25.0,,,8,0.8,0,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0
Stability and Multiscroll Attractors of Control Systems via the Abscissa,CAMPOS CANTON ERIC,5,,MATHEMATICAL PROBLEMS IN ENGINEERING,2017,2017.0,,,7,0.88,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0
Preservation of a two-wing Lorenz-like attractor with stable equilibria,CAMPOS CANTON ERIC,2,,JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS,DEC 2013,350.0,,,7,0.58,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,1,0
Open Problems Related to the Hurwitz Stability of Polynomials Segments,CAMPOS CANTON ERIC,5,,MATHEMATICAL PROBLEMS IN ENGINEERING,2018,2018.0,,,6,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1
Set-Reset Flip-Flop Circuit with a Simple Output Logic,CAMPOS CANTON ERIC,4,,CIRCUITS SYSTEMS AND SIGNAL PROCESSING,APR 2012,31.0,,,6,0.46,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,1,0,0
Forced synchronization of a self-sustained chaotic oscillator,CAMPOS CANTON ERIC,4,,CHAOS,JUN 2008,18.0,,,6,0.35,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
Multivalued synchronization by Poincare coupling,CAMPOS CANTON ERIC,5,,COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION,OCT 2013,18.0,,,5,0.42,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0
Filtering by nonlinear systems,CAMPOS CANTON ERIC,3,,CHAOS,DEC 2008,18.0,,,5,0.29,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0
