Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Quantum Transport in Graphene Nanonetworks,BOTELLO MENDEZ ANDRES RAFAEL,9,,NANO LETTERS,AUG 2011,11,,,41,2.93,0,0,0,0,7,6,6,3,4,4,4,2,2,0,2,1,0
Chemical Makeup and Hydrophilic Behavior of Graphene Oxide Nanoribbons after Low-Temperature Fluorination,BOTELLO MENDEZ ANDRES RAFAEL,14,,ACS NANO,JUL 2015,9,,,39,3.9,0,0,0,0,0,0,0,0,4,8,4,6,4,4,2,4,3
Modeling electronic properties and quantum transport in doped and defective graphene,BOTELLO MENDEZ ANDRES RAFAEL,3,,SOLID STATE COMMUNICATIONS,DEC 2013,175,,,35,2.92,0,0,0,0,0,0,5,3,5,3,3,3,5,5,1,1,1
Enhanced Ferromagnetism in ZnO Nanoribbons and Clusters Passivated with Sulfur,BOTELLO MENDEZ ANDRES RAFAEL,4,,NANO RESEARCH,NOV 2008,1,,,33,1.94,0,1,5,3,2,4,2,3,0,1,2,4,0,1,3,2,0
CVD synthesis of mono- and few-layer graphene using alcohols at low hydrogen concentration and atmospheric pressure,BOTELLO MENDEZ ANDRES RAFAEL,9,,CHEMICAL PHYSICS LETTERS,OCT 1 2013,584,,,32,2.67,0,0,0,0,0,0,1,3,4,5,1,1,5,5,3,3,1
Unconventional molecule-resolved current rectification in diamondoid-fullerene hybrids,BOTELLO MENDEZ ANDRES RAFAEL,13,,NATURE COMMUNICATIONS,SEP 2014,5,,,28,2.55,0,0,0,0,0,0,0,7,7,4,1,4,0,1,4,0,0
Achievements of DFT for the Investigation of Graphene-Related Nanostructures,BOTELLO MENDEZ ANDRES RAFAEL,4,,ACCOUNTS OF CHEMICAL RESEARCH,NOV 2014,47,,,19,1.73,0,0,0,0,0,0,0,0,2,1,1,5,2,2,2,1,3
Effect of impurities on the electronic and magnetic properties of zinc oxide nanostructures,BOTELLO MENDEZ ANDRES RAFAEL,4,,CHEMICAL PHYSICS LETTERS,MAY 26 2010,492,,,18,1.2,0,0,0,3,4,3,1,2,1,0,2,2,0,0,0,0,0
Toward an Accurate Tight-Binding Model of Graphene's Electronic Properties under Strain,BOTELLO MENDEZ ANDRES RAFAEL,3,,JOURNAL OF PHYSICAL CHEMISTRY C,JUL 12 2018,122,,,16,2.29,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,1,2
Lithiation properties of <i>sp</i><SUP>2</SUP> carbon allotropes,BOTELLO MENDEZ ANDRES RAFAEL,9,,PHYSICAL REVIEW MATERIALS,AUG 29 2018,2,,,15,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,4
The electronic and transport properties of two-dimensional conjugated polymer networks including disorder,BOTELLO MENDEZ ANDRES RAFAEL,5,,NANOSCALE,2016,8,,,15,1.67,0,0,0,0,0,0,0,0,2,6,3,0,0,2,1,1,0
The importance of defects for carbon nanoribbon based electronics,BOTELLO MENDEZ ANDRES RAFAEL,7,,PHYSICA STATUS SOLIDI-RAPID RESEARCH LETTERS,SEP 2009,3,,,12,0.75,0,0,1,2,0,3,2,0,0,0,0,1,1,0,0,2,0
Angle-dependent electron confinement in graphene moire superlattices,BOTELLO MENDEZ ANDRES RAFAEL,3,,PHYSICAL REVIEW B,AUG 17 2021,104,,,6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1
N-doped carbon nanotube sponges and their excellent lithium storage performances,BOTELLO MENDEZ ANDRES RAFAEL,10,,NANO SELECT,APR 2022,3,,,5,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
Graphene field effect transistors using TiO<sub>2</sub> as the dielectric layer,BOTELLO MENDEZ ANDRES RAFAEL,6,,PHYSICA E-LOW-DIMENSIONAL SYSTEMS & NANOSTRUCTURES,OCT 2020,124,,,4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
Excitons in twisted AA′ hexagonal boron nitride bilayers,BOTELLO MENDEZ ANDRES RAFAEL,4,,PHYSICAL REVIEW B,AUG 3 2023,108,,,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Characterization of the Edge States in Colloidal Bi<sub>2</sub>Se<sub>3</sub> Platelets,BOTELLO MENDEZ ANDRES RAFAEL,13,,NANO LETTERS,APR 16 2024,24,,,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Charge doping zirconium nitride halide monolayers,BOTELLO MENDEZ ANDRES RAFAEL,2,,CHEMICAL PHYSICS LETTERS,JAN 2022,786,,,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Excitonic response in transition metal dichalcogenide heterostructures from first principles: Impact of stacking, twisting, and interlayer distance",BOTELLO MENDEZ ANDRES RAFAEL,5,,PHYSICAL REVIEW B,JUL 8 2024,110,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
