Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Glycerol Carbonate Synthesis Using Poly(1-alkyl-3-vinylimidazolium) Imidazolates as Catalysts,GUZMAN LUCERO DIEGO JAVIER,3,,CHEMISTRYSELECT,NOV 20 2020,5,,,8,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1
Use of the ionic liquid trioctylmethyl ammonium dodecanedioate as a corrosion inhibitor of steel in production water,GUZMAN LUCERO DIEGO JAVIER,6,,RESEARCH ON CHEMICAL INTERMEDIATES,FEB 2017,43,,,8,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,0,1
Efficient microwave-assisted synthesis of bisimides,GUZMAN LUCERO DIEGO JAVIER,6,,ARKIVOC,2006,,,,7,0.37,0,0,0,0,2,2,0,0,0,2,0,0,1,0,0,0,0,0,0
Some polymeric imidazolates from alkylimidazolium as corrosion inhibitors of API 5L X52 steel in production water,GUZMAN LUCERO DIEGO JAVIER,7,,JOURNAL OF ADHESION SCIENCE AND TECHNOLOGY,APR 18 2022,36,,,6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2
Polyimides Based on 4-4′-Diaminotriphenylmethane (DA-TPM),GUZMAN LUCERO DIEGO JAVIER,5,"Abadie, MJM",HIGH PERFORMANCE POLYMERS - POLYIMIDES BASED - FROM CHEMISTRY TO APPLICATIONS,2012,,,,6,0.46,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0
Microwave-assisted demulsification for oilfield applications: a critical review,GUZMAN LUCERO DIEGO JAVIER,3,,JOURNAL OF DISPERSION SCIENCE AND TECHNOLOGY,AUG 8 2023,44,,,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Synthesis of water-soluble ionic terpolymers by inverse microemulsion and solution polymerization methods,GUZMAN LUCERO DIEGO JAVIER,6,,RSC ADVANCES,APR 22 2022,12,,,2,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Molecular dynamics simulation for salinity resistance prediction of cationic terpolymers at high temperature,GUZMAN LUCERO DIEGO JAVIER,4,,MOLECULAR PHYSICS,AUG 2 2020,118,,,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
DESIGN OF A MEMBRANE PLANT FOR GAS SWEETENING BASED ON NEW POLYIMIDE MEMBRANES,GUZMAN LUCERO DIEGO JAVIER,4,,REVISTA MEXICANA DE INGENIERIA QUIMICA,DEC 2018,17,,,2,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
In-situ 1H NMR measurements of reactivity ratios and thermal properties for copolymerization of N-vinylpyrrolidone and 1-vinyl-3-butylimidazolium bromide,GUZMAN LUCERO DIEGO JAVIER,5,,MATERIALS TODAY COMMUNICATIONS,JUN 2023,35,,,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Effect of Ionic Strength on the Polymerization of Acrylamide, <i>N</i>-Vinylpyrrolidone and Vinylbenzyl trimethylammonium chloride",GUZMAN LUCERO DIEGO JAVIER,5,,CHEMISTRYSELECT,MAY 25 2022,7,,,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Water Control with Gels Based on Synthetic Polymers under Extreme Conditions in Oil Wells,GUZMAN LUCERO DIEGO JAVIER,10,,CHEMICAL ENGINEERING & TECHNOLOGY,JUN 2022,45,,,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Microwave-assisted biodiesel synthesis employing ammonium-based ionic liquids as CONTENIDO catalysts V l me 8,GUZMAN LUCERO DIEGO JAVIER,3,,REVISTA MEXICANA DE INGENIERIA QUIMICA,SEP-DEC 2023,22,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Considerations for Scaling Up the Synthesis of a Glycine-Based Ionic Demulsifier,GUZMAN LUCERO DIEGO JAVIER,4,,CHEMICAL ENGINEERING & TECHNOLOGY,SEP 2020,43,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polyimides with bis-(<i>o</i>-amino)phenols and aromatic tetraamines:: Synthesis and chemical conversion,GUZMAN LUCERO DIEGO JAVIER,4,,"ANTEC 2000: SOCIETY OF PLASTICS ENGINEERS TECHNICAL PAPERS, CONFERENCE PROCEEDINGS, VOLS I-III",2000,,58th Annual Technical Conference of the Society-of-Plastics-Engineers,"MAY 07-11, 2000",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
