Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Efficiency of Adsorption and Photodegradation of Composite TiO<sub>2</sub>/Fe<sub>2</sub>O<sub>3</sub> and Industrial Wastes in Cyanide Removal,CARRILLO PEDROZA FRANCISCO RAUL,6,,WATER,NOV 2022,14.0,,,6,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
Use of Thermally Modified Jarosite for the Removal of Hexavalent Chromium by Adsorption,CARRILLO PEDROZA FRANCISCO RAUL,7,,CRYSTALS,JAN 2022,12.0,,,6,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0
Comparative Study of MnO<sub>2</sub> Dissolution from Black Copper Minerals and Manganese Nodules in an Acid Medium,CARRILLO PEDROZA FRANCISCO RAUL,6,,METALS,MAY 2021,11.0,,,6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1
"Synthesis, structural characterization and Cu(ii) adsorption behavior of manganite (γ-MnOOH) nanorods",CARRILLO PEDROZA FRANCISCO RAUL,6,,RSC ADVANCES,JAN 1 2020,10.0,,,6,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1
ADSORPTION OF CHROMIUM FROM STEEL PLATING WASTEWATER USING BLAST FURNACE DUST,CARRILLO PEDROZA FRANCISCO RAUL,5,,REVISTA INTERNACIONAL DE CONTAMINACION AMBIENTAL,2017,33.0,,,6,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2
Catalytic performance of oxygenated acid sites on activated carbon generated by non-isothermal plasma,CARRILLO PEDROZA FRANCISCO RAUL,6,,CARBON,JAN 2018,126.0,,,5,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0
Advances in the methods for gold and silver recovery from refractory ores,CARRILLO PEDROZA FRANCISCO RAUL,2,,REVISTA DE METALURGIA,JUL-AUG 1996,32.0,,,5,0.17,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0
Analysis of the Behavior of As and Pb during the Pretreatments Applied to a Jarosite Residue for the Recovery of Gold and Silver,CARRILLO PEDROZA FRANCISCO RAUL,6,,METALS,JAN 2023,13.0,,,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Acid Leaching of La and Ce from Ferrocarbonatite-Related REE Ores,CARRILLO PEDROZA FRANCISCO RAUL,7,,MINERALS,MAY 2024,14.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OZONATION AND SOL-GEL METHOD TO OBTAIN Cu/CuO NANOPARTICLES FROM CYANIDATION WASTEWATER,CARRILLO PEDROZA FRANCISCO RAUL,5,,REVISTA INTERNACIONAL DE CONTAMINACION AMBIENTAL,AUG 2015,31.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kinetics Study of Alkaline Decomposition of Rubidium Jarosite in Ca(OH)<sub>2</sub> Media,CARRILLO PEDROZA FRANCISCO RAUL,5,,"TMS2011 SUPPLEMENTAL PROCEEDINGS, VOL 1: MATERIALS PROCESSING AND ENERGY MATERIALS",2011,,TMS 140th Annual Meeting and Exhibition,"FEB 27-MAR 03, 2011",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The removal of pyritic sulphur from a coal by ozone,CARRILLO PEDROZA FRANCISCO RAUL,5,,INTERNATIONAL JOURNAL OF OIL GAS AND COAL TECHNOLOGY,2010,3.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absorption of ozone in water.: Factors that affect to the ozonation process in aqueous solutions,CARRILLO PEDROZA FRANCISCO RAUL,5,,AFINIDAD,MAY-JUN 2004,61.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kinetics of the oxidation of cyanide with ozone in gold mill wastewaters,CARRILLO PEDROZA FRANCISCO RAUL,4,"Gaballah, I; Hager, J; Solozabal, R","REWAS'99 GLOBAL SYMPOSIUM ON RECYCLING, WASTE TREATMENT AND CLEAN TECHNOLOGY VOLUME I-III",1999,,"Global Symposium on Recycling, Waste Treatment and Clean Technology","SEP 05-09, 1999",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use of ozone to treat cyanidation effluents,CARRILLO PEDROZA FRANCISCO RAUL,6,"Gaballah, I; Hager, J; Solozabal, R","REWAS'99 GLOBAL SYMPOSIUM ON RECYCLING, WASTE TREATMENT AND CLEAN TECHNOLOGY VOLUME I-III",1999,,"Global Symposium on Recycling, Waste Treatment and Clean Technology","SEP 05-09, 1999",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
