Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Enhanced CO<sub>2</sub> Hydrogenation to C<sub>2+</sub> Hydrocarbons over Mesoporous <i>x</i>%Fe<sub>2</sub>O<sub>3</sub>-Al<sub>2</sub>O<sub>3</sub> Catalysts,DIAZ DE LEON HERNANDEZ JORGE NOE,8,,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,DEC 29 2021,60,,,9,2.25,0,0,0,0,0,0,0,0,3,5,1
Unsupported CoNi<sub>x</sub>Mo sulfide hydrodesulfurization catalysts prepared by the thermal decomposition of trimetallic tetrabutylammonium thiomolybdate: effect of nickel on sulfur removal,DIAZ DE LEON HERNANDEZ JORGE NOE,6,,REACTION KINETICS MECHANISMS AND CATALYSIS,OCT 2020,131,,,7,1.4,0,0,0,0,0,0,0,1,3,3,0
New Insight on the Formation of Sodium Titanates 1D Nanostructures and Its Application on CO<sub>2</sub> Hydrogenation,DIAZ DE LEON HERNANDEZ JORGE NOE,8,,FRONTIERS IN CHEMISTRY,NOV 8 2019,7,,,7,1.17,0,0,0,0,0,0,0,1,6,0,0
Hydrothermal synthesis of bulk Ni impregnated WO<sub>3</sub> 2D layered structures as catalysts for the desulfurization of 3-methyl thiophene,DIAZ DE LEON HERNANDEZ JORGE NOE,8,,CHEMICAL ENGINEERING JOURNAL ADVANCES,AUG 15 2022,11,,,5,1.67,0,0,0,0,0,0,0,0,0,3,2
Fundamental Study of Catalytic Functionalities Involved in Effective C-O Cleavage over Ru-Supported Catalysts,DIAZ DE LEON HERNANDEZ JORGE NOE,6,,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,DEC 29 2021,60,,,5,1.25,0,0,0,0,0,0,0,0,1,3,1
Antibacterial nanocomposite of chitosan/silver nanocrystals/graphene oxide (ChAgG) development for its potential use in bioactive wound dressings,DIAZ DE LEON HERNANDEZ JORGE NOE,7,,SCIENTIFIC REPORTS,JUN 23 2023,13,,,4,2.0,0,0,0,0,0,0,0,0,0,1,3
Triblock Copolymer Effect During the Synthesis of ZrO<sub>2</sub>-TiO<sub>2</sub> Mixed Oxides Supports for NiW Hydrodesulfurization Catalysts,DIAZ DE LEON HERNANDEZ JORGE NOE,7,,TOPICS IN CATALYSIS,SEP 2022,65,,,3,1.0,0,0,0,0,0,0,0,0,0,2,1
Synthesis and characterization of metal oxides complexes with potential application in HDS reactions,DIAZ DE LEON HERNANDEZ JORGE NOE,5,,MATERIALS LETTERS,MAY 15 2021,291,,,3,0.75,0,0,0,0,0,0,0,0,2,0,1
Synthesis of Aluminium Doped Na-Titanate Nanorods and Its Application as Potential CO<sub>2</sub> Hydrogenation Catalysts,DIAZ DE LEON HERNANDEZ JORGE NOE,8,,CATALYSIS LETTERS,DEC 2019,149,,,3,0.5,0,0,0,0,0,1,0,0,2,0,0
"2,5-Dimethylfuran Production by Catalytic Hydrogenation of 5-Hydroxymethylfurfural Using Ni Supported on Al<sub>2</sub>O<sub>3</sub>-TiO<sub>2</sub>-ZrO<sub>2</sub> Prepared by Sol-Gel Method: The Effect of Hydrogen Donors",DIAZ DE LEON HERNANDEZ JORGE NOE,14,,MOLECULES,JUL 2022,27,,,2,0.67,0,0,0,0,0,0,0,0,0,2,0
Cobalt-Ceria Catalysts for the Methanol Decomposition: Insights in the Long-Term Stability and Methanol Interaction,DIAZ DE LEON HERNANDEZ JORGE NOE,8,,TOPICS IN CATALYSIS,SEP 2022,65,,,2,0.67,0,0,0,0,0,0,0,0,0,2,0
"Effect of Pt-Mn nanoparticles supported on CNT in methanol electro-oxidation reaction, experimental, and theoretical studies",DIAZ DE LEON HERNANDEZ JORGE NOE,8,,JOURNAL OF MATERIALS RESEARCH,OCT 28 2021,36,,,2,0.5,0,0,0,0,0,0,0,0,1,1,0
Facile synthesis of platinum and nickel sulfides supported in N-doped carbon nanotubes for oxygen reduction reaction,DIAZ DE LEON HERNANDEZ JORGE NOE,6,,MATERIALS LETTERS,JUN 15 2021,293,,,2,0.5,0,0,0,0,0,0,0,0,1,0,1
Catalytic performance of CoMoW Sulfide catalysts supported on hierarchically structured porous silicas for HDS reactions,DIAZ DE LEON HERNANDEZ JORGE NOE,9,,CHEMICAL ENGINEERING JOURNAL ADVANCES,MAY 15 2023,14,,,1,0.5,0,0,0,0,0,0,0,0,0,0,1
Simple <i>in situ</i> functionalization of carbon nanospheres,DIAZ DE LEON HERNANDEZ JORGE NOE,9,,NANOTECHNOLOGY,FEB 19 2021,32,,,1,0.25,0,0,0,0,0,0,0,0,0,1,0
"ISOMORPHIC SUBSTITUTION OF Mg<SUP>2+</SUP> BY Al<SUP>3+</SUP>ON MgO: EFFECTS ON BASICITY, TEXTURAL PROPERTIES AND MICROSTRUCTURE",DIAZ DE LEON HERNANDEZ JORGE NOE,6,,REVISTA MEXICANA DE INGENIERIA QUIMICA,JAN-APR 2019,18,,,1,0.17,0,0,0,0,0,0,0,1,0,0,0
Insight into copper-mordenite-silica mixtures (CuMOR-SiO<sub>2</sub>),DIAZ DE LEON HERNANDEZ JORGE NOE,4,,COMPTES RENDUS CHIMIE,MAY 2015,18,,,1,0.1,0,0,0,0,0,1,0,0,0,0,0
NiMoS nanocubes for the selective removal of sulfur from 3-methyl-thiophene,DIAZ DE LEON HERNANDEZ JORGE NOE,7,,APPLIED CATALYSIS A-GENERAL,SEP 25 2023,666,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0
