Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Biosynthesis of silver nanoparticles by <i>Fusarium scirpi</i> and its potential as antimicrobial agent against uropathogenic <i>Escherichia coli</i> biofilms,ANGELES CHAVEZ CARLOS,7,,PLOS ONE,MAR 12 2020,15,,,44,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,14,8,7
"Brilliant blue, green and orange-red emission band on Tm<SUP>3+-</SUP>, Tb<SUP>3+</SUP>- and Eu<SUP>3+</SUP>- doped ZrO<sub>2</sub> nanocrystals",ANGELES CHAVEZ CARLOS,5,,JOURNAL OF PHYSICS D-APPLIED PHYSICS,NOV 24 2010,43,,,44,2.93,0,0,0,0,0,0,1,6,1,1,7,8,7,4,1,0,3,3,2,0
Surfactant effect on the upconversion emission and decay time of ZrO<sub>2</sub>:Yb-Er nanocrystals,ANGELES CHAVEZ CARLOS,5,,JOURNAL OF LUMINESCENCE,MAY 2009,129,,,44,2.75,0,0,0,0,1,7,5,6,5,3,2,4,2,3,2,0,1,0,2,1
Generation of WO<sub>3</sub>-ZrO<sub>2</sub> catalysts from solid solutions of tungsten in zirconia,ANGELES CHAVEZ CARLOS,4,,JOURNAL OF SOLID STATE CHEMISTRY,AUG 2006,179,,,44,2.32,0,0,3,1,2,4,1,5,1,4,1,2,3,2,2,3,3,2,2,3
Physical properties of pulse electrodeposited lead sulfide thin films,ANGELES CHAVEZ CARLOS,4,,ELECTROCHIMICA ACTA,JUN 1 2013,99,,,43,3.58,0,0,0,0,0,0,0,0,0,5,6,3,11,1,5,3,3,1,4,1
Effect of the Si/Zr molar ratio on the synthesis of Zr-based mesoporous molecular sieves,ANGELES CHAVEZ CARLOS,5,,MATERIALS CHEMISTRY AND PHYSICS,MAR 15 2009,114,,,43,2.69,0,0,0,0,0,3,2,2,4,1,3,2,1,6,5,1,7,2,3,1
"One-Step Green"" Synthesis and Stabilization of Au and Ag Nanoparticles Using Ionic Polymers""",ANGELES CHAVEZ CARLOS,5,,CHEMISTRY OF MATERIALS,AUG 26 2008,20,,,42,2.47,0,0,0,0,1,5,4,4,3,0,1,5,3,5,4,2,2,2,1,0
"Influence of synthesis methods on tungsten dispersion, structural deformation, and surface acidity in binary WO<sub>3</sub>-ZrO<sub>2</sub> system",ANGELES CHAVEZ CARLOS,5,,JOURNAL OF PHYSICAL CHEMISTRY B,DEC 8 2005,109,,,42,2.1,0,1,4,5,4,3,4,3,1,3,0,3,2,1,1,1,2,2,1,1
"Degradation of the herbicide 2,4-dichlorophenoxyacetic acid over Au/TiO<sub>2</sub>-CeO<sub>2</sub> photocatalysts: Effect of the CeO<sub>2</sub> content on the photoactivity",ANGELES CHAVEZ CARLOS,5,,CATALYSIS TODAY,MAY 30 2011,166,2nd International Symposium on New Catalytic Materials,"AUG 16-20, 2009",41,2.93,0,0,0,0,0,0,1,3,4,4,8,3,1,4,3,4,3,2,1,0
Concentration enhanced red upconversion in nanocrystalline ZrO<sub>2</sub> : Er under IR excitation,ANGELES CHAVEZ CARLOS,4,,JOURNAL OF PHYSICS D-APPLIED PHYSICS,SEP 21 2004,37,,,41,1.95,3,6,5,3,4,4,2,0,3,2,0,0,1,2,1,0,2,0,3,0
"Strong broad green UV-excited photoluminescence in rare earth (RE = Ce, Eu, Dy, Er, Yb) doped barium zirconate",ANGELES CHAVEZ CARLOS,5,,MATERIALS SCIENCE AND ENGINEERING B-ADVANCED FUNCTIONAL SOLID-STATE MATERIALS,OCT 25 2011,176,Symposium on Advances in Semiconducting Materials/19th International Materials Research Congress (IMRC),"AUG 15-20, 2010",37,2.64,0,0,0,0,0,0,0,6,3,4,2,2,3,3,5,2,3,2,1,1
Complete Structural Characterization of Ni<sub>3</sub>Si<sub>2</sub>O<sub>5</sub>(OH)<sub>4</sub> Nanotubes: Theoretical and Experimental Comparison,ANGELES CHAVEZ CARLOS,5,,JOURNAL OF PHYSICAL CHEMISTRY C,JUN 16 2011,115,,,37,2.64,0,0,0,0,0,0,0,1,2,1,2,6,3,1,5,6,3,4,1,2
"Structural study, photoluminescence, and photocatalytic activity of semiconducting BaZrO<sub>3</sub>:Bi nanocrystals",ANGELES CHAVEZ CARLOS,6,,MATERIALS SCIENCE AND ENGINEERING B-ADVANCED FUNCTIONAL SOLID-STATE MATERIALS,OCT 25 2011,176,Symposium on Advances in Semiconducting Materials/19th International Materials Research Congress (IMRC),"AUG 15-20, 2010",33,2.36,0,0,0,0,0,0,0,0,3,0,3,5,4,1,2,5,2,3,2,3
"Structural, morphological and interfacial characterization of Al-Mg/TiC composites",ANGELES CHAVEZ CARLOS,4,,MATERIALS CHARACTERIZATION,AUG-SEP 2007,58,Symposium on Materials Characterization held at the 14th International Materials Research Congress,"AUG 21-25, 2005",33,1.83,0,0,0,0,1,5,4,2,3,3,5,2,3,2,1,0,2,0,0,0
Assessing optimal photoactivity on titania nanotubes using different annealing temperatures,ANGELES CHAVEZ CARLOS,8,,APPLIED CATALYSIS B-ENVIRONMENTAL,OCT 11 2010,100,,,31,2.07,0,0,0,0,0,0,3,3,2,5,5,4,1,2,1,3,1,0,1,0
Highly Quasi-Monodisperse Ag Nanoparticles on Titania Nanotubes by Impregnative Aqueous Ion Exchange,ANGELES CHAVEZ CARLOS,5,,LANGMUIR,SEP 1 2009,25,,,28,1.75,0,0,0,0,0,1,4,4,3,2,2,4,0,2,2,0,0,0,1,3
Upgrading HDS activity of MoS<sub>2</sub> catalysts by chelating thioglycolic acid to MoO<sub>x</sub> supported on alumina,ANGELES CHAVEZ CARLOS,6,,APPLIED CATALYSIS B-ENVIRONMENTAL,SEP 15 2017,213,,,26,3.25,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,5,5,4,2,1
Fe doped TiO<sub>2</sub> powder synthesized by sol gel method: structural and photocatalytic characterization,ANGELES CHAVEZ CARLOS,4,,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS,AUG 2015,26,2nd International Symposium on Renewable Energy and Sustainability (ISRES),"MAR 20-22, 2013",26,2.6,0,0,0,0,0,0,0,0,0,0,0,2,2,5,7,4,2,2,2,0
Blue-green upconversion emission in ZrO<sub>2</sub>:Yb<SUP>3+</SUP> nanocrystals,ANGELES CHAVEZ CARLOS,6,,JOURNAL OF APPLIED PHYSICS,NOV 15 2008,104,,,26,1.53,0,0,0,0,3,2,3,3,3,2,0,0,2,0,2,0,2,2,1,1
Generation of highly reactive OH groups at the surface of TiO<sub>2</sub> nanotubes,ANGELES CHAVEZ CARLOS,4,,CATALYSIS TODAY,MAY 30 2011,166,2nd International Symposium on New Catalytic Materials,"AUG 16-20, 2009",25,1.79,0,0,0,0,0,0,2,1,2,2,2,1,1,1,4,1,0,6,0,2
Au/Rutile Catalysts: Effect of the Activation Atmosphere on the Gold-Support Interaction,ANGELES CHAVEZ CARLOS,5,,JOURNAL OF PHYSICAL CHEMISTRY C,APR 7 2011,115,,,25,1.79,0,0,0,0,0,0,0,1,5,4,1,2,1,2,3,0,2,1,3,0
Effect of the CTAB concentration on the upconversion emission of ZrO<sub>2</sub>:Er<SUP>3+</SUP> nanocrystals,ANGELES CHAVEZ CARLOS,8,,OPTICAL MATERIALS,OCT 2006,29,2nd Topical Meeting on Nanostructured Materials and Nanotechnology,"SEP 19-21, 2005",23,1.21,0,0,1,4,4,2,2,1,0,2,1,2,1,2,0,1,0,0,0,0
Enhancing the up-conversion emission of ZrO<sub>2</sub>:Er<SUP>3+</SUP> nanocrystals prepared by a micelle process,ANGELES CHAVEZ CARLOS,6,,JOURNAL OF PHYSICAL CHEMISTRY C,NOV 15 2007,111,,,20,1.11,0,0,0,1,2,5,2,1,0,2,2,0,0,0,2,1,0,1,1,0
Uniformly sized Pt nanoparticles dispersed at high loading on Titania nanotubes,ANGELES CHAVEZ CARLOS,10,,APPLIED CATALYSIS A-GENERAL,JUN 25 2020,600,,,18,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,3
"Long-lasting green, yellow, and red phosphorescence of carbon dots embedded on ZnAl<sub>2</sub>O<sub>4</sub> nanoparticles synthesized by a combustion method",ANGELES CHAVEZ CARLOS,7,,JOURNAL OF PHYSICS D-APPLIED PHYSICS,OCT 17 2018,51,,,18,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,1,4,2
Morphological and structural study of the Si deposition on the sulfided NiMo/γ-Al<sub>2</sub>O<sub>3</sub> catalyst: Effect on the support,ANGELES CHAVEZ CARLOS,5,,APPLIED CATALYSIS A-GENERAL,SEP 5 2014,485,,,18,1.64,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,3,3,1,1,3
"Gold Particle Size Determination on Au/TiO<sub>2</sub>-CeO<sub>2</sub> Catalysts by Means of Carbon Monoxide, Hydrogen Chemisorption and Transmission Electron Microscopy",ANGELES CHAVEZ CARLOS,8,,JOURNAL OF NANO RESEARCH,2009,5,,,18,1.13,0,0,0,0,0,2,2,0,2,2,1,2,0,1,0,1,3,1,1,0
Ag nanoparticle effects on the thermoluminescent properties of monoclinic ZrO<sub>2</sub> exposed to ultraviolet and gamma radiation,ANGELES CHAVEZ CARLOS,6,,NANOTECHNOLOGY,JUL 4 2007,18,,,18,1.0,0,0,0,1,1,0,1,2,0,3,2,2,2,0,1,0,0,0,2,1
Clay minerals in historic buildings,ANGELES CHAVEZ CARLOS,3,,JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY,MAY 2011,104,,,17,1.21,0,0,0,0,0,0,0,0,3,2,1,0,0,1,1,1,3,2,2,1
Bonding titanium on multi-walled carbon nanotubes for hydrogen storage: An electrochemical approach,ANGELES CHAVEZ CARLOS,6,,MATERIALS CHEMISTRY AND PHYSICS,JUN 15 2009,115,,,17,1.06,0,0,0,0,0,0,2,4,4,0,0,0,0,1,0,1,0,2,2,1
Photoluminescent and photocatalytic properties of bismuth doped strontium aluminates blended with titanium dioxide,ANGELES CHAVEZ CARLOS,5,,MATERIALS SCIENCE IN SEMICONDUCTOR PROCESSING,SEP 2015,37,23rd International-Materials-Research-Congress (IMRC 2014),"AUG 17-21, 2014",16,1.6,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,5,0,2,0,0
Photoluminescence characterization of porous YAG: Yb<SUP>3+</SUP>-Er<SUP>3+</SUP> nanoparticles,ANGELES CHAVEZ CARLOS,9,,JOURNAL OF LUMINESCENCE,SEP 2014,153,,,16,1.45,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,1,3,2,1,2
