Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Optical and electrical diagnostics of a high-frequency glow-arc discharge and its application to the synthesis of carbon nanofibers,PACHECO SOTELO JOEL OSVALDO,8,,IEEE TRANSACTIONS ON PLASMA SCIENCE,OCT 2007,35,,,7,0.39,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0,1,0,0
Three-Phase Centrifuged Gliding-Arc Discharge for CH<sub>4</sub> Treatment,PACHECO SOTELO JOEL OSVALDO,8,,IEEE TRANSACTIONS ON PLASMA SCIENCE,NOV 2011,39,,,6,0.43,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0
PIN diode-preamplifier set for the measurement of low-energy γ- and X-rays,PACHECO SOTELO JOEL OSVALDO,6,,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,FEB 1 2003,497,,,6,0.27,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Synthesis of Boron-Doped Carbon Nanotubes With DC Electric Arc Discharge,PACHECO SOTELO JOEL OSVALDO,6,,IEEE TRANSACTIONS ON PLASMA SCIENCE,AUG 2018,46,16th Latin American Workshop on Plasma Physics (LAWPP),"SEP 04-08, 2017",5,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0
Electrical model for HPS discharge based on the energy-balance equation,PACHECO SOTELO JOEL OSVALDO,6,,IEEE TRANSACTIONS ON PLASMA SCIENCE,JUN 2007,35,,,5,0.28,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
Three-phase six-pulse buck rectifier with high quality input waveforms,PACHECO SOTELO JOEL OSVALDO,3,,IEE PROCEEDINGS-ELECTRIC POWER APPLICATIONS,NOV 1999,146,,,5,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0
Toxic wastes treatment using different configurations of plasma torches,PACHECO SOTELO JOEL OSVALDO,7,,PHYSICA SCRIPTA,OCT 2008,T131,12th Latin American Workshop on Plasma Physics,"SEP 17-21, 2007",4,0.24,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
OES analysis in a nonthermal plasma used for toxic gas removal: Rotational and excitation temperature estimation,PACHECO SOTELO JOEL OSVALDO,6,,LASER PHYSICS,MAR 2008,18,,,4,0.24,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0
Temperature evaluation of the nonthermal equilibrium of plasma discharges by OES analysis,PACHECO SOTELO JOEL OSVALDO,9,,LASER PHYSICS,MAR 2008,18,,,4,0.24,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
Modelling and optimization of a low-pressure DC glow discharge in stable regime,PACHECO SOTELO JOEL OSVALDO,8,,SURFACE & COATINGS TECHNOLOGY,FEB 26 2007,201,5th Asian/European International Conference on Plasma Surface Engineering,"SEP 12-16, 2005",4,0.22,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
Electrical probe diagnostic with fast data acquisition systems of the Novillo tokamak,PACHECO SOTELO JOEL OSVALDO,9,"Chuaqui, H; Favre, M",PLASMA PHYSICS,2001,563,9th Latin American Workshop on Plasma Physics,"NOV 13-17, 2000",4,0.17,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
