Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Multifunctional Properties of Zwitterionic Liquids. Application in Enhanced Oil Recovery and Asphaltene Aggregation Phenomena,BUENROSTRO GONZALEZ EDUARDO,6,,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,MAR 25 2015,54.0,,,15,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,1,2,1,0,0,2
Quantum chemical characterization of zwitterionic structures: Supramolecular complexes for modifying the wettability of oil-water-limestone system,BUENROSTRO GONZALEZ EDUARDO,8,,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,JUN 2014,51.0,,,14,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,1,1,1,1
Tin and Silicon Phthalocyanines Molecularly Engineered as Traceable Stabilizers of Asphaltenes,BUENROSTRO GONZALEZ EDUARDO,5,,ENERGY & FUELS,JAN 2011,25.0,,,14,1.0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,2,2,1,1,0,1,0
Oxidation evidenced during hydrocarbon preparative fraction isolation. Intrinsic stability aspects affecting crude oils,BUENROSTRO GONZALEZ EDUARDO,2,,ENERGY & FUELS,MAY 2006,20.0,,,13,0.68,0,0,0,0,0,1,2,0,1,1,0,1,0,2,3,1,0,0,0,1,0,0,0
A theoretical study of crude oil emulsions stability due to supramolecular assemblies,BUENROSTRO GONZALEZ EDUARDO,10,,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,APR 20 2019,567.0,,,12,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,2
"Density Functional Theoretical Study of the Interaction of Geminal Zwitterionic Liquids with Limestone, Regarding the Behavior of the Wettability Parameter",BUENROSTRO GONZALEZ EDUARDO,8,,JOURNAL OF CHEMICAL AND ENGINEERING DATA,DEC 2012,57.0,,,12,0.92,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,1,3,0,0,0,0,1
Qualitative analysis of thin films of crude oil deposits on the metallic substrate by Fourier transform infrared (FTIR) microscopy,BUENROSTRO GONZALEZ EDUARDO,7,,ENERGY & FUELS,SEP-OCT 2005,19.0,,,11,0.55,0,0,0,0,0,1,1,2,0,0,1,1,0,0,1,0,0,1,0,3,0,0,0
Supramolecular pairing among heteroaromatic compounds and the cationic surfactant C<sub>12</sub>TAC,BUENROSTRO GONZALEZ EDUARDO,10,,FUEL,JUN 1 2015,149.0,International-Mexican Congress on Chemical Reaction Engineering (IMCCRE 2014),"JUN 07-13, 2014",9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,3,1,0,0,0,0
Molecular modeling and experimental testing on the comparative performance of macrocyclic and linear zwitterionic surfactants for the emulsified heavy oil recovery,BUENROSTRO GONZALEZ EDUARDO,12,,FUEL,FEB 1 2021,285.0,,,7,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4
ASTM D-5307 and ASTM D-7169 SIMDIS Standards: A Comparison and Correlation of Methods,BUENROSTRO GONZALEZ EDUARDO,3,,PETROLEUM SCIENCE AND TECHNOLOGY,2015,33.0,,,7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,1,0
Development of a surface plasmon resonance n-dodecane vapor sensor,BUENROSTRO GONZALEZ EDUARDO,4,,SENSORS,SEP 2007,7.0,,,7,0.39,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0
"Foaming supramolecular surfactants for gas mobility control in naturally fractured carbonate reservoirs at high temperature, salinity, and hardness",BUENROSTRO GONZALEZ EDUARDO,15,,PETROLEUM SCIENCE,DEC 2022,19.0,,,6,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Growth inhibition in calcium sulfate crystal using a copolymer in oil fields: theoretical study and experimental evaluations,BUENROSTRO GONZALEZ EDUARDO,8,,IRANIAN POLYMER JOURNAL,DEC 2018,27.0,,,4,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0
Application of Multifunctional Agents During Enhanced Oil Recovery,BUENROSTRO GONZALEZ EDUARDO,3,"RomeroZeron, L",CHEMICAL ENHANCED OIL RECOVERY (CEOR): A PRACTICAL OVERVIEW,2016,,,,4,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
Thermodynamics of vapor-liquid equilibria in aqueous solutions of acid gas-alkanolamine,BUENROSTRO GONZALEZ EDUARDO,4,,REVISTA MEXICANA DE FISICA,JUN 1998,44.0,,,2,0.07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Supramolecular pairing among heteroaromatic compounds and the cationic surfactant C<sub>12</sub>TAC (vol 149, pg 174, 2015)",BUENROSTRO GONZALEZ EDUARDO,10,,FUEL,JAN 15 2016,164.0,,,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Response to the Letter to the Editor by JC Jones: <i>Asphaltenes as agents for gelation</i>''""",BUENROSTRO GONZALEZ EDUARDO,3,,FUEL,OCT 2013,112.0,,,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Density Functional Theoretical Study of the Interaction of Geminal Zwitterionic Liquids with Limestone, Regarding the Behavior of the Wettability Parameter (vol 50, pg 3538, 2012)",BUENROSTRO GONZALEZ EDUARDO,8,,JOURNAL OF CHEMICAL AND ENGINEERING DATA,APR 2016,61.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
