Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Sequence of metal-organic oligomer-polymer exchange equilibria in solution:: Supramolecular isomerism, self-assembly dynamics and carboxylate shift of di-<i>n</i>-butyltin <i>cis</i>-1,4-cyclohexanedicarboxylate",BELTRAN CONDE HIRAM ISAAC,6,,EUROPEAN JOURNAL OF INORGANIC CHEMISTRY,MAR 2008,,,,31,1.82,0,0,0,0,0,0,3,4,3,2,2,1,2,1,1,3,2,3,1,2,0,0,1
"First trial and physicochemical studies on the loading of basic fuchsin, crystal violet and Black Eriochrome T on HKUST-1",BELTRAN CONDE HIRAM ISAAC,3,,NEW JOURNAL OF CHEMISTRY,APR 21 2017,41.0,,,28,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,8,1,6,4
Sol-Gel Synthesis and Antioxidant Properties of Yttrium Oxide Nanocrystallites Incorporating P-123,BELTRAN CONDE HIRAM ISAAC,6,,MATERIALS,SEP 2014,7.0,,,28,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,2,3,2,1,3,6
Theoretical and experimental insights on the true impact of C<sub>12</sub>TAC cationic surfactant in enhanced oil recovery for heavy oil carbonate reservoirs,BELTRAN CONDE HIRAM ISAAC,7,,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,AUG 5 2014,455.0,,,27,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,5,1,1,0,3,0
Pentadienyl complexes of alkali metals:: Structure and bonding,BELTRAN CONDE HIRAM ISAAC,8,,ORGANOMETALLICS,MAR 10 2008,27.0,,,26,1.53,0,0,0,0,0,0,0,1,0,2,1,5,1,5,3,3,1,0,1,2,1,0,0
"Nanocap-shaped tin phthalocyanines:: Synthesis, characterization, and corrosion inhibition activity",BELTRAN CONDE HIRAM ISAAC,11,,CHEMISTRY-A EUROPEAN JOURNAL,APR 22 2005,11.0,,,23,1.15,0,0,0,0,0,3,5,1,0,4,5,1,0,0,0,0,1,1,1,1,0,0,0
"X-ray analysis and structural characterization of 2-phenyl-6-aza-1,3-dioxa-2-borabenzocyclononenones",BELTRAN CONDE HIRAM ISAAC,5,,JOURNAL OF ORGANOMETALLIC CHEMISTRY,SEP 1 2002,657.0,2nd European Symposium on Boron Chemistry (Euroboron 2),"SEP 02-06, 2001",23,1.0,0,1,2,0,2,1,2,1,2,2,3,1,0,1,0,0,0,0,1,0,1,1,2
Synthesis and characterization of new 2-substituted isoindoline derivatives of α-amino acids,BELTRAN CONDE HIRAM ISAAC,5,,ORGANIC PREPARATIONS AND PROCEDURES INTERNATIONAL,AUG 2001,33.0,,,23,0.96,0,1,0,1,0,4,0,1,1,0,0,1,1,1,2,2,0,2,2,0,1,1,2
Development of oxazolidines derived from poly<i>iso</i>butylene succinimides as multifunctional stabilizers of asphaltenes in oil industry,BELTRAN CONDE HIRAM ISAAC,5,,FUEL,AUG 2013,110.0,International-Mexican Congress on Chemical Reaction Engineering (IMCCRE),"JUN, 2012",22,1.83,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,3,3,2,5,1,0
One pot synthesis of 2-phenylbenzoxazoles by potassium cyanide assisted reaction of <i>o</i>-aminophenols and benzaldehydes,BELTRAN CONDE HIRAM ISAAC,3,,TETRAHEDRON LETTERS,JAN 12 2011,52.0,,,22,1.57,0,0,0,0,0,0,0,0,0,2,2,3,2,2,6,0,2,0,2,0,0,1,0
