Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Ab initio molecular dynamics calculations of the phase transformation mechanism for the formation of TiO<sub>2</sub> titanate-type nanosheets from anatase,RUIZ MORALES YOSADARA,2,,CHEMISTRY OF MATERIALS,JUN 12 2007,19.0,,,38,2.11,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,4,1,1,4,3,1,4,0,3,1,1,0,0,1
Experimental and Theoretical Approach To Determine the Average Asphaltene Structure of a Crude Oil from the Golden Lane (Faja de Oro) of Mexico,RUIZ MORALES YOSADARA,4,,ENERGY & FUELS,JUL 16 2020,34.0,,,34,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,11,7,6
Triplet Electronic Spin States of Crude Oils and Asphaltenes,RUIZ MORALES YOSADARA,13,,ENERGY & FUELS,MAY 2011,25.0,,,27,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,4,2,3,1,3,3,0,1,1,0
Aromaticity in pericondensed cyclopenta-fused polycyclic aromatic hydrocarbons determined by density functional theory nucleus-independent chemical shifts and the Y-rule - Implications in oil asphaltene stability,RUIZ MORALES YOSADARA,1,,CANADIAN JOURNAL OF CHEMISTRY,OCT 2009,87.0,,,27,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,2,1,4,2,0,2,2,3,2,1,0
Mesoscale Dissipative Particle Dynamics to Investigate Oil Asphaltenes and Sodium Naphthenates at the Oil-Water Interface,RUIZ MORALES YOSADARA,2,,ENERGY & FUELS,JUN 3 2021,35.0,,,26,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,10,6
Interaction energy in Maya-oil asphaltenes: A molecular mechanics study,RUIZ MORALES YOSADARA,4,,PETROLEUM SCIENCE AND TECHNOLOGY,2001,19.0,,,24,1.0,0,0,0,0,0,0,0,2,4,0,4,0,0,1,0,2,1,1,0,1,2,1,1,2,0,0,0,1,1
Singlet-Triplet and Triplet-Triplet Transitions of Asphaltene PAHs by Molecular Orbital Calculations,RUIZ MORALES YOSADARA,2,,ENERGY & FUELS,SEP 2013,27.0,,,23,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,2,0,3,4,1,3,2
Database of Nuclear Independent Chemical Shifts (NICS) versus NICS<sub>ZZ</sub> of Polycyclic Aromatic Hydrocarbons (PAHs),RUIZ MORALES YOSADARA,2,,JOURNAL OF CHEMICAL INFORMATION AND MODELING,FEB 2020,60.0,,,21,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,5,5
Determination of <SUP>13</SUP>C NMR Chemical Shift Structural Ranges for Polycyclic Aromatic Hydrocarbons (PAHs) and PAHs in Asphaltenes: An Experimental and Theoretical Density Functional Theory Study,RUIZ MORALES YOSADARA,4,,ENERGY & FUELS,SEP 2019,33.0,,,21,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,6,3,5
Note on the Y-rule in Clar theory,RUIZ MORALES YOSADARA,2,,POLYCYCLIC AROMATIC COMPOUNDS,2007,27.0,,,21,1.17,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,2,2,0,1,1,0,1,3,2,1,1,1
Identification and quantification of seven fused aromatic rings C<sub>26</sub>H<sub>14</sub> pen-condensed benzenoid polycyclic aromatic hydrocarbons in a complex mixture of polycyclic aromatic hydrocarbons from coal tar,RUIZ MORALES YOSADARA,3,,JOURNAL OF CHROMATOGRAPHY A,APR 15 2016,1442.0,,,18,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,4,3,1,0
The calculation of NMR parameters by density-functional theory - An approach based on gauge including atomic orbitals,RUIZ MORALES YOSADARA,4,"Laird, BB; Ross, RB; Ziegler, T",CHEMICAL APPLICATIONS OF DENSITY-FUNCTIONAL THEORY,1996,629.0,"Conference on Chemical Applications of Density-Functional Theory, at the 209th National Meeting of the American-Chemical-Society","APR 02-06, 1995",17,0.59,0,1,4,1,2,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1
Extended Y-Rule Method for the Characterization of the Aromatic Sextets in Cata-Condensed Polycyclic Aromatic Hydrocarbons,RUIZ MORALES YOSADARA,2,,JOURNAL OF PHYSICAL CHEMISTRY A,DEC 25 2014,118.0,,,15,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,2,2,2,1,1,0
"Application of the Y-Rule and Theoretical Study to Understand the Topological and Electronic Structures of Polycyclic Aromatic Hydrocarbons from Atomic Force Microscopy Images of Soot, Coal Asphaltenes, and Petroleum Asphaltenes",RUIZ MORALES YOSADARA,1,,ENERGY & FUELS,AUG 18 2022,36.0,,,14,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,4
The Predictive Power of the Annellation Theory: The Case of the C<sub>32</sub>H<sub>16</sub> Benzenoid Polycyclic Aromatic Hydrocarbons,RUIZ MORALES YOSADARA,2,,JOURNAL OF PHYSICAL CHEMISTRY A,JUL 17 2014,118.0,,,14,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,1,1,1,2,2
Asphaltenes,RUIZ MORALES YOSADARA,8,"Hsu, CS; Robinson, PR",SPRINGER HANDBOOK OF PETROLEUM TECHNOLOGY,2017,,,,11,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,2,0
The Helicenes: Potential Carriers of Diffuse Interstellar Bands,RUIZ MORALES YOSADARA,3,,ACS EARTH AND SPACE CHEMISTRY,FEB 18 2021,5.0,,,10,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1
The Predictive Power of the Annellation Theory: The Case of the C<sub>26</sub>H<sub>16</sub> Cata-Condensed Benzenoid Polycyclic Aromatic Hydrocarbons,RUIZ MORALES YOSADARA,2,,JOURNAL OF PHYSICAL CHEMISTRY A,OCT 22 2015,119.0,,,8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,2
Prediction of the Ultraviolet-Visible Absorption Spectra of Polycyclic Aromatic Hydrocarbons (Dibenzo and Naphtho) Derivatives of Fluoranthene,RUIZ MORALES YOSADARA,2,,APPLIED SPECTROSCOPY,JUN 2017,71.0,,,6,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0
"Usage of the Y-Rule and the Effect of the Occurrence of Heteroatoms (N, S) on the Frontier Molecular Orbitals Gap of Polycyclic Aromatic Hydrocarbons (PAHs), and Asphaltene-PAHs",RUIZ MORALES YOSADARA,2,,CHEMPHYSCHEM,MAY 2 2023,24.0,,,4,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
The Influence of Aromaticity in Gas Chromatography Retention: The Case of Polycyclic Aromatic Sulfur Heterocycles,RUIZ MORALES YOSADARA,5,,CHROMATOGRAPHIA,MAR 2018,81.0,,,4,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0
Advanced Reservoir Evaluation Using Downhole Fluid Analysis and Asphaltene Flory-Huggins-Zuo Equation of State,RUIZ MORALES YOSADARA,7,,PETROPHYSICS,FEB 2013,54.0,,,3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
GIAO-DFT approach to the calculation of NMR and EPR parameters: Quanitative results and qualitative interpretations.,RUIZ MORALES YOSADARA,6,,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,AUG 22 1999,218.0,,,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Evaluation of Molecular Fragmentation in Polycyclic Aromatic Hydrocarbons by Time-of-Flight Secondary Ion Mass Spectrometry,RUIZ MORALES YOSADARA,4,,ENERGY & FUELS,MAY 2 2023,37.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Theoretical studies of asphaltenes: Aromatic core analyzed by molecular orbital calculations with optical spectroscopy, and interfacial science analyzed by mesoscale simulations",RUIZ MORALES YOSADARA,1,,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,MAR 18 2018,255.0,"255th National Meeting and Exposition of the American-Chemical-Society (ACS) - Nexus of Food, Energy, and Water","MAR 18-22, 2018",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
