Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Rhamnolipids from <i>Pseudomonas aeruginosa</i> Rn19a Modifies the Biofilm Formation over a Borosilicate Surface by Clinical Isolates,ORRANTIA BORUNDA ERASMO,6,,COATINGS,FEB 2021,11.0,,,8,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1
Safe Administration of Carbon Nanotubes by Intravenous Pathway in BALB/c Mice,ORRANTIA BORUNDA ERASMO,8,,NANOMATERIALS,FEB 2020,10.0,,,8,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1
Palladium Nanoparticles Functionalized with PVP-Quercetin Inhibits Cell Proliferation and Activates Apoptosis in Colorectal Cancer Cells,ORRANTIA BORUNDA ERASMO,8,,APPLIED SCIENCES-BASEL,MAR 2021,11.0,,,7,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1
Cytotoxicity of Protein-Carbon Nanotubes on J774 Macrophages Is a Functionalization Grade-Dependent Effect,ORRANTIA BORUNDA ERASMO,7,,BIOMED RESEARCH INTERNATIONAL,2015,2015.0,,,7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0
Cytotoxicity of Carbon Nanotubes on J774 Macrophages Is a Purification-Dependent Effect,ORRANTIA BORUNDA ERASMO,7,,JOURNAL OF NANOMATERIALS,2012,2012.0,,,7,0.54,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0
TD-DFT/IEFPCM determination of the absorption and emission spectra of DABCYL,ORRANTIA BORUNDA ERASMO,5,,JOURNAL OF MOLECULAR STRUCTURE-THEOCHEM,APR 15 2010,945.0,,,6,0.4,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0
"Levofloxacin induces differential effects in the transcriptome between the gut, peripheral and axial joints in the Spondyloarthritis DBA/1 mice: Improvement of intestinal dysbiosis and the overall inflammatory process",ORRANTIA BORUNDA ERASMO,16,,PLOS ONE,FEB 2 2023,18.0,,,4,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Computational note on the calculation of the p<i>K</i><sub>a</sub> of fluorescein,ORRANTIA BORUNDA ERASMO,3,,JOURNAL OF MOLECULAR STRUCTURE-THEOCHEM,NOV 30 2008,869.0,,,4,0.24,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Effect of organic and conventional farming on soil bacterial diversity of pecan tree (<i>Carya illinoensis</i> K. Kosh) orchard across two phenological stages,ORRANTIA BORUNDA ERASMO,9,,LETTERS IN APPLIED MICROBIOLOGY,MAY 2021,72.0,,,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
New Methods of Esterification of Nanodiamonds in Fighting Breast Cancer-A Density Functional Theory Approach,ORRANTIA BORUNDA ERASMO,4,,MOLECULES,OCT 2017,22.0,,,3,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Computational prediction of the melting temperature of a DNA biosensor to detect <i>Mycobacterium tuberculosis</i>,ORRANTIA BORUNDA ERASMO,6,,JOURNAL OF MOLECULAR STRUCTURE-THEOCHEM,OCT 30 2009,912.0,6th Congress on Electronic Structure - Principles and Applications,"SEP 02-05, 2008",3,0.19,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Tamoxifen-Loaded Nanodiamonds as a Potential Nanosystem for Drug Delivery to Breast Cancer Cells,ORRANTIA BORUNDA ERASMO,6,,NANOSCIENCE AND NANOTECHNOLOGY LETTERS,AUG 2019,11.0,,,2,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Kinetics for an Optimized Biosynthesis of Silver Nanoparticles Using Alfalfa Extracts,ORRANTIA BORUNDA ERASMO,7,,INTERNATIONAL JOURNAL OF CHEMICAL REACTOR ENGINEERING,SEP 2015,13.0,,,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Cytotoxicity of functionalized carbon nanotubes in J774A macrophages,ORRANTIA BORUNDA ERASMO,7,,NEW BIOTECHNOLOGY,SEP 23 2012,29.0,,,2,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Taxonomic and functional diversity of bacterial communities of agriculture soil exposed to zinc peroxide nanoparticles (nZnO<sub>2</sub>),ORRANTIA BORUNDA ERASMO,7,,APPLIED SOIL ECOLOGY,SEP 2023,189.0,,,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"BIOCONCENTRATION OF Pb, Cd and As IN BIOMASS OF <i>Eleocharis macrostachya</i> (CYPERACEAE)",ORRANTIA BORUNDA ERASMO,5,,REVISTA INTERNACIONAL DE CONTAMINACION AMBIENTAL,2019,35.0,,,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CuO nanoparticles toxicity against bacteria strains isolated from agricultural soil,ORRANTIA BORUNDA ERASMO,5,,NEW BIOTECHNOLOGY,JUL 2014,31.0,,,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Noncytotoxic Carbon Nanotubes Bioconjugated with Fucosyltransferase 4-Derived Peptides Modulate Macrophage Polarization <i>In Vitro</i>,ORRANTIA BORUNDA ERASMO,5,,BIONANOSCIENCE,,,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quasi-Diamond Platelet-Shaped Zinc Oxide Nanostructures Display Enhanced Antibacterial Activity,ORRANTIA BORUNDA ERASMO,12,,CHEMBIOCHEM,,,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Improved Cytotoxic Capacity of Functionalized Nanodiamonds with Metformin in Breast and Ovarian Cancer Cell Lines,ORRANTIA BORUNDA ERASMO,10,,PROCESSES,SEP 2023,11.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparative toxicity of multi-walled carbon nanotubes in BALB/c mice after an intravenous injection,ORRANTIA BORUNDA ERASMO,6,,TOXICOLOGY LETTERS,OCT 2016,259.0,14th International Congress of Toxicology in conjunction with the 10th Mexican Congress of Toxicology,"OCT 02-09, 2016",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Administration of soybean 15-lipoxigenase crude extract decreases amoebic liver abscess formation in hamsters,ORRANTIA BORUNDA ERASMO,7,,NEW BIOTECHNOLOGY,SEP 23 2012,29.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
An Optical Overview of Poly[μ<sub>2</sub>-L-alanine-μ<sub>3</sub>-nitrato-sodium(I)] Crystals,ORRANTIA BORUNDA ERASMO,3,,SCIENTIFIC WORLD JOURNAL,2012,,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Molecular modeling of the melting temperature of a tuberculosis DNA nanobiosensor,ORRANTIA BORUNDA ERASMO,3,,NEW BIOTECHNOLOGY,SEP 2009,25.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
