Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Nanostructured Pure and Substituted Cobalt Ferrites: Fabrication by Electrospinning and Study of Their Magnetic Properties,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,7,,JOURNAL OF ALLOYS AND COMPOUNDS,DEC 25 2015,653.0,,,11,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,3,0,1,0
"Synthesis at room atmosphere conditions of phosphorescent emitter <i>SrAl<sub>2</sub>O<sub>4</sub>:Eu,Dy</i>",RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,8,,CERAMICS INTERNATIONAL,AUG 1 2018,44.0,,,10,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,2,0
Ultrafine magnetic particles dispersed in silica:: Characterization of cobalt iron citrate precursor and magnetic properties,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,4,,MATERIALS RESEARCH BULLETIN,MAY 6 2008,43.0,,,10,0.59,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,0,0,0,0,0,1,0,1,0,0,0
Shrinkage reduction and morphological characterization of PP reinforced with glass fiber and nanoclay using functionalized PP as compatibilizer,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,9,,INTERNATIONAL JOURNAL OF MATERIAL FORMING,APR 2017,10.0,,,8,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,1,0,1
Epoxy/hybrid graphene-copper nanocomposite materials with enhanced thermal conductivity,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,11,,JOURNAL OF APPLIED POLYMER SCIENCE,JUL 5 2022,139.0,,,7,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4
Preparation and characterization of cotton fibers coated with AA-IA hydrogel containing silver/graphene or graphene oxide nanoparticles,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,13,,POLYMER-PLASTICS TECHNOLOGY AND MATERIALS,2019,58.0,,,7,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0
Influence of modified polyethylene compatibilizer on filler dispersion and flammability characteristics of linear low density polyethylene/cyclo olefin copolymer blends containing flame retardant combinations,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,13,,JOURNAL OF ADHESION SCIENCE AND TECHNOLOGY,2018,32.0,,,7,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1
Synthesis and characterization of Ce-doped HfO<sub>2</sub> nanoparticles in molten chlorides,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,5,,JOURNAL OF ALLOYS AND COMPOUNDS,JAN 25 2017,692.0,,,7,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,0,0,0
Effect of Organoclay Structure Characteristics on Properties of Ternary PP-EP/EVA/Nanoclay Blend Systems,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,8,,POLYMER COMPOSITES,NOV 2014,35.0,,,7,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,2,0,0,1
Preparation and Characterization of magnetic latexes using Styrene monomer,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,4,,POLYMER BULLETIN,APR 2004,51.0,,,7,0.33,0,0,0,0,0,0,0,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
