Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Dielectrophoresis with 3D microelectrodes fabricated by surface tension assisted lithography,TOVAR LOPEZ FRANCISCO JAVIER,5,,ELECTROPHORESIS,DEC 2013,34.0,,,10,0.83,0,0,0,0,0,0,6,1,1,0,1,0,0,1,0,0
An extensional strain sensing mechanosome drives adhesion-independent platelet activation at supraphysiological hemodynamic gradients,TOVAR LOPEZ FRANCISCO JAVIER,15,,BMC BIOLOGY,MAR 24 2022,20.0,,,9,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
Structural and hydrodynamic simulation of an acute stenosis-dependent thrombosis model in mice,TOVAR LOPEZ FRANCISCO JAVIER,7,,JOURNAL OF BIOMECHANICS,APR 7 2011,44.0,,,8,0.57,0,0,0,1,0,1,1,0,2,1,0,0,1,0,1,0
Nonlinear Dynamic Modelling of Platelet Aggregation via Microfluidic Devices,TOVAR LOPEZ FRANCISCO JAVIER,5,,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,JUL 2015,62.0,,,7,0.7,0,0,0,0,0,0,1,3,0,2,0,1,0,0,0,0
A Multimode-TIRFM and Microfluidic Technique to Examine Platelet Adhesion Dynamics,TOVAR LOPEZ FRANCISCO JAVIER,5,"Coutts, AS","ADHESION PROTEIN PROTOCOLS, 3RD EDITION",2013,1046.0,,,6,0.5,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1
Dynamic drag force based on iterative density mapping: A new numerical tool for three-dimensional analysis of particle trajectories in a dielectrophoretic system,TOVAR LOPEZ FRANCISCO JAVIER,6,,ELECTROPHORESIS,FEB 2016,37.0,,,4,0.44,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0
A novel Surface Tension Assisted Lithography (STAL) technique for microfabrication of 3D structures,TOVAR LOPEZ FRANCISCO JAVIER,5,,JOURNAL OF MATERIALS CHEMISTRY C,2013,1.0,,,4,0.33,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0
A hydrodynamic microchip for formation of continuous cell chains,TOVAR LOPEZ FRANCISCO JAVIER,8,,APPLIED PHYSICS LETTERS,MAY 19 2014,104.0,,,3,0.27,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
Microwave Microfluidic Sensor for Detecting Heavy Metal Pollution in Water,TOVAR LOPEZ FRANCISCO JAVIER,5,,2021 IEEE ASIA-PACIFIC MICROWAVE CONFERENCE (APMC),2021,,IEEE Asia-Pacific Microwave Conference (APMC),"NOV 28-DEC 01, 2021",2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Magnetic actuation and deformation of a soft shuttle,TOVAR LOPEZ FRANCISCO JAVIER,4,,BIOMICROFLUIDICS,MAY 2020,14.0,,,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
