Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Electrocatalysis of oxygen reduction on CoNi-decorated-Pt nanoparticles: A theoretical and experimental study,PEREZ ROBLES JUAN FRANCISCO,7,,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,DEC 28 2016,41,15th International Congress of the Mexican-Hydrogen-Society,"SEP 22-25, 2015",19,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,4,2,1,0
Nanoparticles of Ag with a Pt and Pd rich surface supported on carbon as a new catalyst for the oxygen electroreduction reaction (ORR) in acid electrolytes: Part 2,PEREZ ROBLES JUAN FRANCISCO,3,,JOURNAL OF POWER SOURCES,FEB 15 2015,276,,,19,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,3,1,2,1,0,0
Flexural behavior and microstructure analysis of a gypsum-SBR composite material,PEREZ ROBLES JUAN FRANCISCO,7,,MATERIALS LETTERS,JAN 2005,59,,,19,0.95,0,0,0,0,0,0,0,1,0,0,0,3,2,1,0,0,0,0,3,1,3,0,1,1,2,1
Graphene Synthesis Using a CVD Reactor and a Discontinuous Feed of Gas Precursor at Atmospheric Pressure,PEREZ ROBLES JUAN FRANCISCO,6,,JOURNAL OF NANOMATERIALS,2018,2018,,,18,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,6,2,2
Synthesis and structural characterization of MoS<sub>2</sub> micropyramids,PEREZ ROBLES JUAN FRANCISCO,11,,JOURNAL OF MATERIALS SCIENCE,SEP 2020,55,,,17,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,3
Nickel supported on carbon nanotubes and carbon nanospheres for ammonia oxidation reaction,PEREZ ROBLES JUAN FRANCISCO,3,,NANOTECHNOLOGY,MAR 20 2020,31,,,17,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,3,2
Impact of the Kind of Ultraviolet Light on the Photocatalytic Degradation Kinetics of the TiO<sub>2</sub>/UV Process,PEREZ ROBLES JUAN FRANCISCO,5,,ENVIRONMENTAL PROGRESS & SUSTAINABLE ENERGY,OCT 2011,30,,,17,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,3,1,4,4,0
Synthesis and functionalization of carbon nanotubes and nanospheres as a support for the immobilization of an enzyme extract from the mushroom Trametes versicolor,PEREZ ROBLES JUAN FRANCISCO,5,,JOURNAL OF MATERIALS SCIENCE,SEP 2019,54,,,14,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,1,2
Enhancement of mechanical and hydrophobic properties of adobes for building industry by the addition of polymeric agents,PEREZ ROBLES JUAN FRANCISCO,6,,BUILDING AND ENVIRONMENT,FEB 2007,42,,,14,0.78,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,2,2,2,2,0,0,0,0
Study of the dextrose equivalent of maltodextrins in electrospinning using an ethanol/water mixture as the electrospinning solvent,PEREZ ROBLES JUAN FRANCISCO,6,,FOOD HYDROCOLLOIDS,MAY 2023,139,,,13,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
"Effect of nixtamalization with Ca(OH)<sub>2</sub>, CaCl<sub>2,</sub> and CaCO<sub>3</sub> on the protein secondary structure, rheological, and textural properties of soft wheat flour doughs",PEREZ ROBLES JUAN FRANCISCO,7,,JOURNAL OF CEREAL SCIENCE,SEP 2021,101,,,13,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0
Dense silica-based coatings prepared from colloidal silica,PEREZ ROBLES JUAN FRANCISCO,5,,SURFACE & COATINGS TECHNOLOGY,JAN 3 2005,190,,,13,0.65,0,0,0,0,0,0,0,0,0,3,0,4,2,0,0,1,0,0,0,0,2,0,0,0,1,0
Stability of magnetite nanoparticles with different coatings in a simulated blood plasma,PEREZ ROBLES JUAN FRANCISCO,4,,JOURNAL OF NANOPARTICLE RESEARCH,JUN 1 2016,18,,,12,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,2,1,2,0
Stabilization of copper-based colloidal particles in sol-gel SiO<sub>2</sub> thin films,PEREZ ROBLES JUAN FRANCISCO,6,,THIN SOLID FILMS,APR 3 2000,365,,,12,0.48,0,0,0,0,0,1,1,3,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0
Mechanochemical synthesis of Co and Ni decorated with chemically deposited Pt as electrocatalysts for oxygen reduction reaction,PEREZ ROBLES JUAN FRANCISCO,4,,MATERIALS CHEMISTRY AND PHYSICS,NOV 1 2016,183,,,11,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,1,0,0,2,0
