Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Prediction of the density and viscosity in biodiesel blends at various temperatures,RAMIREZ VERDUZCO LUIS FELIPE,4,,FUEL,MAR 2011,90,,,104,7.43,0,0,0,0,0,0,0,1,5,5,11,7,10,6,9,13,10,8,10,5,4
Influence of surface-phenomena in oxidative desulfurization with WO<i><sub>x</sub></i>/ZrO<sub>2</sub> catalysts,RAMIREZ VERDUZCO LUIS FELIPE,6,,APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING,DEC 2004,79,,,42,2.0,1,1,4,3,4,4,4,1,1,2,2,0,1,4,2,1,4,3,0,0,0
"Prediction of the surface tension, surface concentration, and the relative Gibbs adsorption isotherm of binary liquid systems",RAMIREZ VERDUZCO LUIS FELIPE,3,,FLUID PHASE EQUILIBRIA,AUG 25 2006,246,,,35,1.84,0,0,0,2,1,4,4,2,2,3,1,2,4,2,0,1,4,0,2,1,0
Desulfurization of middle distillates by oxidation and extraction process,RAMIREZ VERDUZCO LUIS FELIPE,7,,PETROLEUM SCIENCE AND TECHNOLOGY,2004,22,,,33,1.57,2,0,1,2,2,3,2,2,3,2,2,0,2,0,1,1,2,3,2,1,0
Predicting the surface tension of mixtures of fatty acid ethyl esters and biodiesel fuels using UNIFAC activity coefficients,RAMIREZ VERDUZCO LUIS FELIPE,3,,FLUID PHASE EQUILIBRIA,MAR 1 2020,507,,,20,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,6,1
Life Cycle Assessment of Green Diesel Production by Hydrodeoxygenation of Palm Oil,RAMIREZ VERDUZCO LUIS FELIPE,3,,FRONTIERS IN ENERGY RESEARCH,JUL 23 2021,9,,,12,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3
Adsorption of Biomass-Derived Products on MoO<sub>3</sub>: Hydrogen Bonding Interactions under the Spotlight,RAMIREZ VERDUZCO LUIS FELIPE,4,,ACS OMEGA,OCT 2018,3,,,9,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,2
Advancements in biofuel research: Understanding the physical and chemical characteristics of green diesel,RAMIREZ VERDUZCO LUIS FELIPE,3,,REVISTA MEXICANA DE FISICA,JUL-AUG 2024,70,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
